id,Password,First_Name,Last_Name,email,Role,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,ENG1005
670220,lqpqjjr1/,Heather,Harper,h.harper@lincolnsgroup.com,Student,1,1,1,1,1,0
708076,exyrxxo9-,Gianna,Brown,g.brown@lincolnsgroup.com,Student,1,1,1,1,1,0
155280,qbvsmhi5#,Eric,Adams,e.adams@lincolnsgroup.com,Student,1,1,1,1,1,0
511242,rnswica4(,Annabella,Wright,a.wright@lincolnsgroup.com,Student,1,1,1,1,1,0
328710,nfjwzdl9%,Alexia,Gibson,a.gibson@lincolnsgroup.com,Student,1,1,1,1,0,1
742153,idsydzw2#,Eleanor,Morrison,e.morrison@lincolnsgroup.com,Student,1,1,1,1,0,1
624975,wxkdklw3',Owen,Kelley,o.kelley@lincolnsgroup.com,Student,1,1,1,1,0,1
255365,izdqyfs5&,Elian,Farrell,e.farrell@lincolnsgroup.com,Student,1,1,1,1,0,1
318404,yyrcolj0.,Edward,Bailey,e.bailey@lincolnsgroup.com,Student,1,1,1,1,1,1
616421,wwfyhjg5(,Stuart,Harrison,s.harrison@lincolnsgroup.com,Student,1,1,1,1,1,1
306103,zskycxl7',Leonardo,Fowler,l.fowler@lincolnsgroup.com,Student,1,1,1,1,1,1
375125,rkrvnex3+,Cadie,Moore,c.moore@lincolnsgroup.com,Student,1,1,1,1,1,1
177843,wxzcjys3-,Walter,Thomas,w.thomas@lincolnsgroup.com,Student,0,1,0,0,0,0
239787,"oozfpac4,",Hailey,Mitchell,h.mitchell@lincolnsgroup.com,Student,0,1,0,0,0,0
412530,qurtktk6',Ryan,Andrews,r.andrews@lincolnsgroup.com,Student,0,1,0,0,0,0
437401,tmvsdpp3),Grace,Lloyd,g.lloyd@lincolnsgroup.com,Student,0,1,0,0,0,0
905921,kfllzdt4#,Vivian,Perkins,v.perkins@lincolnsgroup.com,Student,0,0,0,0,1,0
975398,wufatux9%,Max,Miller,m.miller@lincolnsgroup.com,Student,0,0,0,0,1,0
916127,fwgrzoa9*,Tara,Scott,t.scott@lincolnsgroup.com,Student,0,0,0,0,1,0
699990,uqbqvfq7&,Kelsey,Campbell,k.campbell@lincolnsgroup.com,Student,0,0,0,1,0,0
844055,chmlffo5',Kelsey,Andrews,k.andrews@lincolnsgroup.com,Student,0,0,0,1,0,0
996067,"neiucbo7""",Catherine,Armstrong,c.armstrong@lincolnsgroup.com,Student,0,0,0,1,0,0
