ID,Password,First Name,Last Name,email,Role,Unit 1,Unit 2,Unit 3,Unit 4,Unit 5,Unit 6
368912,pivtzhv5&,Maya,Perry,m.perry@lincolnsgroup.com,Student,FIT2021,FIT2085,ENG1001,ENG1002,,
289073,mtcnvxk4',Ned,Stevens,n.stevens@lincolnsgroup.com,Student,FIT2021,FIT2085,ENG1001,ENG1002,,
137236,nkufavx3.,Blake,Allen,b.allen@lincolnsgroup.com,Student,FIT2021,FIT2085,ENG1001,ENG1002,,
383627,"epbrolz2,",Maximilian,Smith,m.smith@lincolnsgroup.com,Student,FIT2021,FIT2085,ENG1001,ENG1002,,
413644,irtemfe1*,Amy,Cunningham,a.cunningham@lincolnsgroup.com,Student,FIT2021,FIT2085,ENG1001,ENG1002,,
763248,whviazk1/,Brooke,Myers,b.myers@lincolnsgroup.com,Student,FIT2021,FIT2085,ENG1001,ENG1002,,
501771,"ikokfmp7""",Aiden,Rogers,a.rogers@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
406678,yjpcthu0%,Alen,Nelson,a.nelson@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
503379,xiufrmt4$,Edwin,Reed,e.reed@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
138553,nocseoe2/,Frederick,Owens,f.owens@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
438596,"hyhlkvn8,",Alan,Bailey,a.bailey@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
588230,btbtjlp1*,Amber,Kelly,a.kelly@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
292201,yspvzzz7+,Adison,Hunt,a.hunt@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
241241,"mvuatlb4,",Hailey,Roberts,h.roberts@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
134733,bqraqsh3%,Rosie,Carroll,r.carroll@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
721103,qlmjpvb5$,Miranda,Tucker,m.tucker@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
726472,ibvwkhv4&,Adrian,Grant,a.grant@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
214276,bxvsuan5%,William,Bennett,w.bennett@lincolnsgroup.com,Student,FIT2085,ENG1001,ENG1002,ENG1005,,
772264,szrfcor5),Heather,Casey,h.casey@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,,,
680769,"hsntbkd6""",Agata,Owens,a.owens@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,,,
391108,ltejztb4-,Stella,Ryan,s.ryan@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,,,
483419,wwleqpr2-,Myra,Douglas,m.douglas@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,,,
165387,wnwyzhj1),Julian,Hill,j.hill@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,,,
827748,ghqyvcv2',Darcy,Richards,d.richards@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,,,
774194,zabhodb6-,Vincent,Carroll,v.carroll@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,,,
137155,bwuwamr8/,David,Dixon,d.dixon@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,,,
729892,zadcvqx4),Abraham,Turner,a.turner@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,,,
273405,puyxnxy9),Sofia,Ellis,s.ellis@lincolnsgroup.com,Student,ENG1001,ENG1002,ENG1005,,,
720062,lokrzmc2.,Heather,Moore,h.moore@lincolnsgroup.com,Student,ENG1001,ENG1002,ENG1005,,,
930715,ppluper0%,Adison,Smith,a.smith@lincolnsgroup.com,Student,ENG1001,ENG1002,ENG1005,,,
252513,"awnekgd4,",Emily,Thompson,e.thompson@lincolnsgroup.com,Student,ENG1001,ENG1002,ENG1005,,,
420570,oikfuou4!,Sawyer,Hawkins,s.hawkins@lincolnsgroup.com,Student,ENG1001,ENG1002,ENG1005,,,
699797,"widgzhh4,",Adison,Allen,a.allen@lincolnsgroup.com,Student,ENG1001,ENG1002,ENG1005,,,
224842,fidmozj4.,Victoria,Edwards,v.edwards@lincolnsgroup.com,Student,ENG1001,ENG1002,ENG1005,,,
318419,vewhzsi0%,Eddy,Payne,e.payne@lincolnsgroup.com,Student,ENG1001,ENG1002,ENG1005,,,
425316,"jpbukyt0""",Anna,Scott,a.scott@lincolnsgroup.com,Student,ENG1001,ENG1002,ENG1005,,,
990448,ztieuui4(,Steven,Bennett,s.bennett@lincolnsgroup.com,Student,ENG1001,ENG1002,ENG1005,,,
103237,hujezcp0&,Carlos,Nelson,c.nelson@lincolnsgroup.com,Student,FIT2021,FIT2085,,,,
839677,pnyzyoh3!,Carl,Spencer,c.spencer@lincolnsgroup.com,Student,FIT2021,ENG1005,,,,
660381,qgzytpa5-,William,Nelson,w.nelson@lincolnsgroup.com,Student,FIT2021,ENG1002,,,,
280361,kysstas1!,Eddy,Gibson,e.gibson@lincolnsgroup.com,Student,ENG1001,ENG1002,,,,
892961,ahwhsgg8/,Edwin,Harper,e.harper@lincolnsgroup.com,Student,ENG1001,ENG1002,,,,
331976,jlhxadh2+,Alfred,Bennett,a.bennett@lincolnsgroup.com,Student,ENG1001,ENG1002,,,,
656343,espsfin6/,Adrian,Owens,a.owens@lincolnsgroup.com,Student,ENG1001,ENG1002,,,,
938726,imcttpc9-,Blake,Dixon,b.dixon@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,
488018,xgvngne3!,Kate,Morrison,k.morrison@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,
714502,lejfuzu8.,Anna,Evans,a.evans@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,
670220,lqpqjjr1/,Heather,Harper,h.harper@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,
708076,exyrxxo9-,Gianna,Brown,g.brown@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,
155280,qbvsmhi5#,Eric,Adams,e.adams@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,
511242,rnswica4(,Annabella,Wright,a.wright@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,
328710,nfjwzdl9%,Alexia,Gibson,a.gibson@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1005,
742153,idsydzw2#,Eleanor,Morrison,e.morrison@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1005,
624975,wxkdklw3',Owen,Kelley,o.kelley@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1005,
255365,izdqyfs5&,Elian,Farrell,e.farrell@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1005,
318404,yyrcolj0.,Edward,Bailey,e.bailey@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,ENG1005
616421,wwfyhjg5(,Stuart,Harrison,s.harrison@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,ENG1005
306103,zskycxl7',Leonardo,Fowler,l.fowler@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,ENG1005
375125,rkrvnex3+,Cadie,Moore,c.moore@lincolnsgroup.com,Student,FIT2004,FIT2021,FIT2085,ENG1001,ENG1002,ENG1005
177843,wxzcjys3-,Walter,Thomas,w.thomas@lincolnsgroup.com,Student,FIT2021,,,,,
239787,"oozfpac4,",Hailey,Mitchell,h.mitchell@lincolnsgroup.com,Student,FIT2021,,,,,
412530,qurtktk6',Ryan,Andrews,r.andrews@lincolnsgroup.com,Student,FIT2021,,,,,
437401,tmvsdpp3),Grace,Lloyd,g.lloyd@lincolnsgroup.com,Student,FIT2021,,,,,
905921,kfllzdt4#,Vivian,Perkins,v.perkins@lincolnsgroup.com,Student,ENG1002,,,,,
975398,wufatux9%,Max,Miller,m.miller@lincolnsgroup.com,Student,ENG1002,,,,,
916127,fwgrzoa9*,Tara,Scott,t.scott@lincolnsgroup.com,Student,ENG1002,,,,,
699990,uqbqvfq7&,Kelsey,Campbell,k.campbell@lincolnsgroup.com,Student,ENG1001,,,,,
844055,chmlffo5',Kelsey,Andrews,k.andrews@lincolnsgroup.com,Student,ENG1001,,,,,
996067,"neiucbo7""",Catherine,Armstrong,c.armstrong@lincolnsgroup.com,Student,ENG1001,,,,,
